"","edad_gama","Fecha","ingresos","trend"
"7","25-29",Apr 2003,647.570274449613,639.873856116047
"9","25-29",May 2003,675.828147070441,663.093878164553
"11","25-29",Jun 2003,693.222792093448,680.724510771759
"13","25-29",Jul 2003,709.390913551517,695.155855719504
"15","25-29",Aug 2003,723.356397667051,705.846249818169
"17","25-29",Sep 2003,760.19876401105,715.164533185117
"19","25-29",Oct 2003,736.01976023923,723.7609329222
"21","25-29",Nov 2003,728.515176239518,730.94145089655
"23","25-29",Dec 2003,796.759469958957,737.245014342431
"25","25-29",Jan 2004,722.360357785448,742.809848148317
"27","25-29",Feb 2004,714.74185690297,747.413346665215
"29","25-29",Mar 2004,731.139082939808,752.08046686288
"31","25-29",Apr 2004,739.626678764322,756.889591563818
"33","25-29",May 2004,756.104174140132,761.218064759089
"35","25-29",Jun 2004,764.232287724892,765.844201387445
"37","25-29",Jul 2004,771.937429261335,769.498390180374
"39","25-29",Aug 2004,771.293846362778,771.612069582741
"41","25-29",Sep 2004,824.27220005929,773.305626154019
"43","25-29",Oct 2004,787.365317013503,775.114977302468
"45","25-29",Nov 2004,781.052976151747,776.644879733171
"47","25-29",Dec 2004,855.248949127261,777.692397563206
"49","25-29",Jan 2005,751.571409647456,779.0742033012
"51","25-29",Feb 2005,736.25911069776,781.282801055667
"53","25-29",Mar 2005,750.2671868557,783.004658392781
"55","25-29",Apr 2005,763.923002411205,783.550918347135
"57","25-29",May 2005,768.525508830112,784.146615172308
"59","25-29",Jun 2005,776.951380955766,785.227669955299
"61","25-29",Jul 2005,792.3816737423,785.429683176296
"63","25-29",Aug 2005,803.855947989035,784.697440031521
"65","25-29",Sep 2005,833.034674523774,783.994358309193
"67","25-29",Oct 2005,791.713081453505,783.309787761408
"69","25-29",Nov 2005,791.00193551589,783.108403394861
"71","25-29",Dec 2005,871.245304554903,782.913522481767
"73","25-29",Jan 2006,740.423371523752,782.071842556472
"75","25-29",Feb 2006,729.833313346866,780.671490434903
