"","edad_gama","quintil","Sexo","Fecha","ingresos","trend","base","perc_change2010"
"7","25-29","i","mujer",Apr 2003,115.238918579767,111.206080116593,NA,NA
"9","25-29","i","mujer",May 2003,118.515326916309,115.625844800687,NA,NA
"11","25-29","i","mujer",Jun 2003,136.746744892716,119.068661784004,NA,NA
"13","25-29","i","mujer",Jul 2003,134.200236070621,122.3009817852,NA,NA
"15","25-29","i","mujer",Aug 2003,132.978433447373,125.992306719868,NA,NA
"17","25-29","i","mujer",Sep 2003,137.399735739371,129.312212666637,NA,NA
"19","25-29","i","mujer",Oct 2003,124.263069307143,131.487721730748,NA,NA
"21","25-29","i","mujer",Nov 2003,125.026994785167,133.314842515652,NA,NA
"23","25-29","i","mujer",Dec 2003,131.916951144748,134.679689547455,NA,NA
"25","25-29","i","mujer",Jan 2004,128.943262847533,135.5948590802,NA,NA
"27","25-29","i","mujer",Feb 2004,145.634419544863,136.758249372248,NA,NA
"29","25-29","i","mujer",Mar 2004,138.329301434733,137.483548095287,NA,NA
"31","25-29","i","mujer",Apr 2004,132.557450697043,138.596335498671,NA,NA
"33","25-29","i","mujer",May 2004,145.047693636713,140.341425740946,NA,NA
"35","25-29","i","mujer",Jun 2004,142.970706935584,141.684156310138,NA,NA
"37","25-29","i","mujer",Jul 2004,149.940342813647,142.704889964794,NA,NA
"39","25-29","i","mujer",Aug 2004,145.159693713486,143.135668922407,NA,NA
"41","25-29","i","mujer",Sep 2004,142.625644826212,143.404099495903,NA,NA
"43","25-29","i","mujer",Oct 2004,145.744057901494,144.279903532656,NA,NA
"45","25-29","i","mujer",Nov 2004,145.42817200542,144.902641015374,NA,NA
"47","25-29","i","mujer",Dec 2004,143.741307585098,145.287837856897,NA,NA
"49","25-29","i","mujer",Jan 2005,141.616514118941,145.81707991446,NA,NA
"51","25-29","i","mujer",Feb 2005,143.299863256156,146.44588277913,NA,NA
"53","25-29","i","mujer",Mar 2005,147.106191487351,148.2940226369,NA,NA
"55","25-29","i","mujer",Apr 2005,144.799857526507,149.990154877114,NA,NA
"57","25-29","i","mujer",May 2005,147.75098639247,150.30523309857,NA,NA
"59","25-29","i","mujer",Jun 2005,149.51213837637,150.594945919501,NA,NA
"61","25-29","i","mujer",Jul 2005,156.100720754392,150.969870628163,NA,NA
"63","25-29","i","mujer",Aug 2005,154.090584524808,151.484191747874,NA,NA
"65","25-29","i","mujer",Sep 2005,178.050110601369,152.023324382176,NA,NA
"67","25-29","i","mujer",Oct 2005,151.026765891481,152.2657177515,NA,NA
"69","25-29","i","mujer",Nov 2005,147.707341330382,153.512685886603,NA,NA
"71","25-29","i","mujer",Dec 2005,148.415245962461,156.006840328239,NA,NA
"73","25-29","i","mujer",Jan 2006,145.940768749476,157.331902312085,NA,NA
"75","25-29","i","mujer",Feb 2006,151.319315498679,158.755871016689,NA,NA
