"","X","edad_gama","sexo","quintil","año","ingresos","base","perc_change"
"1",1,"25-29","hombre","i",1990,106.662429959405,NA,NA
"2",2,"25-29","hombre","i",1992,122.15387359814,NA,NA
"3",3,"25-29","hombre","i",1994,109.41758795099,NA,NA
"4",4,"25-29","hombre","i",1996,122.317641419142,NA,NA
"5",5,"25-29","hombre","i",1998,126.598814444553,NA,NA
"6",6,"25-29","hombre","i",2000,101.190053450948,NA,NA
"7",7,"25-29","hombre","i",2003,132.177199461364,NA,NA
"8",8,"25-29","hombre","i",2006,149.680713988225,NA,NA
"9",9,"25-29","hombre","i",2009,200.610805636364,200.610805636364,0
"10",10,"25-29","hombre","i",2011,229.559740463886,229.559740463886,0
"11",11,"25-29","hombre","i",2013,222.800086978723,229.559740463886,-2.94461627788189
"12",12,"25-29","hombre","i",2015,227.496470589474,229.559740463886,-0.898794305239501
"13",13,"25-29","hombre","i",2017,226.588804177355,229.559740463886,-1.29418872861915
"14",14,"25-29","hombre","i",2022,243.521824404762,229.559740463886,6.08211348935224
"15",15,"25-29","hombre","ii",1990,171.431561684849,NA,NA
"16",16,"25-29","hombre","ii",1992,183.018841455978,NA,NA
"17",17,"25-29","hombre","ii",1994,187.370016149721,NA,NA
"18",18,"25-29","hombre","ii",1996,198.932920879682,NA,NA
"19",19,"25-29","hombre","ii",1998,217.982907341057,NA,NA
"20",20,"25-29","hombre","ii",2000,211.854934204429,NA,NA
"21",21,"25-29","hombre","ii",2003,228.074172526521,NA,NA
"22",22,"25-29","hombre","ii",2006,258.980620371331,NA,NA
"23",23,"25-29","hombre","ii",2009,318.035770319793,318.035770319793,0
"24",24,"25-29","hombre","ii",2011,343.885941923372,343.885941923372,0
"25",25,"25-29","hombre","ii",2013,346.780146702658,343.885941923372,0.841617648892114
"26",26,"25-29","hombre","ii",2015,357.621523875,343.885941923372,3.99422607240184
"27",27,"25-29","hombre","ii",2017,383.174733963881,343.885941923372,11.4249485805569
"28",28,"25-29","hombre","ii",2022,415.725384180791,343.885941923372,20.8904853323219
"29",29,"25-29","hombre","iii",1990,224.371426276463,NA,NA
"30",30,"25-29","hombre","iii",1992,251.312518488307,NA,NA
"31",31,"25-29","hombre","iii",1994,254.142840822731,NA,NA
"32",32,"25-29","hombre","iii",1996,282.298367687768,NA,NA
"33",33,"25-29","hombre","iii",1998,303.941194676357,NA,NA
"34",34,"25-29","hombre","iii",2000,284.616830451569,NA,NA
"35",35,"25-29","hombre","iii",2003,283.84156565625,NA,NA
"36",36,"25-29","hombre","iii",2006,342.968887700063,NA,NA
"37",37,"25-29","hombre","iii",2009,397.261496842105,397.261496842105,0
"38",38,"25-29","hombre","iii",2011,476.102810691943,476.102810691943,0
"39",39,"25-29","hombre","iii",2013,474.344280089239,476.102810691943,-0.369359424731856
"40",40,"25-29","hombre","iii",2015,476.952971347116,476.102810691943,0.178566611261425
"41",41,"25-29","hombre","iii",2017,506.386264555163,476.102810691943,6.36069629986171
"42",42,"25-29","hombre","iii",2022,514.901260450161,476.102810691943,8.14917469229605
"43",43,"25-29","hombre","iv",1990,318.555897701149,NA,NA
"44",44,"25-29","hombre","iv",1992,351.380815322275,NA,NA
"45",45,"25-29","hombre","iv",1994,355.108032930144,NA,NA
"46",46,"25-29","hombre","iv",1996,414.301789189189,NA,NA
"47",47,"25-29","hombre","iv",1998,433.00953276187,NA,NA
"48",48,"25-29","hombre","iv",2000,399.735355394879,NA,NA
"49",49,"25-29","hombre","iv",2003,402.140024353349,NA,NA
"50",50,"25-29","hombre","iv",2006,499.977166039548,NA,NA
"51",51,"25-29","hombre","iv",2009,568.54979971223,568.54979971223,0
"52",52,"25-29","hombre","iv",2011,708.305965095517,708.305965095517,0
"53",53,"25-29","hombre","iv",2013,679.823944834646,708.305965095517,-4.02114646274793
"54",54,"25-29","hombre","iv",2015,692.6095374,708.305965095517,-2.2160518856283
"55",55,"25-29","hombre","iv",2017,705.229851675194,708.305965095517,-0.434291615757905
"56",56,"25-29","hombre","iv",2022,696.737284356093,708.305965095517,-1.63328862236306
"57",57,"25-29","hombre","v",1990,883.26781872276,NA,NA
"58",58,"25-29","hombre","v",1992,905.306416436315,NA,NA
"59",59,"25-29","hombre","v",1994,886.225506417134,NA,NA
"60",60,"25-29","hombre","v",1996,1015.20448363197,NA,NA
"61",61,"25-29","hombre","v",1998,1055.76598811494,NA,NA
"62",62,"25-29","hombre","v",2000,947.299416902375,NA,NA
"63",63,"25-29","hombre","v",2003,976.195851177761,NA,NA
"64",64,"25-29","hombre","v",2006,1221.88307158728,NA,NA
"65",65,"25-29","hombre","v",2009,1294.25946986231,1294.25946986231,0
"66",66,"25-29","hombre","v",2011,1585.1394018249,1585.1394018249,0
"67",67,"25-29","hombre","v",2013,1525.47380593176,1585.1394018249,-3.7640598564675
"68",68,"25-29","hombre","v",2015,1504.28564454808,1585.1394018249,-5.10073481131923
"69",69,"25-29","hombre","v",2017,1572.68353838213,1585.1394018249,-0.785789781544135
"70",70,"25-29","hombre","v",2022,1370.41645,1585.1394018249,-13.5459980098721
"71",71,"25-29","mujer","i",1990,79.6613498028169,NA,NA
"72",72,"25-29","mujer","i",1992,86.5490902270742,NA,NA
"73",73,"25-29","mujer","i",1994,81.7517694424132,NA,NA
"74",74,"25-29","mujer","i",1996,66.3465901720184,NA,NA
"75",75,"25-29","mujer","i",1998,92.8612273018576,NA,NA
"76",76,"25-29","mujer","i",2000,65.25860016,NA,NA
"77",77,"25-29","mujer","i",2003,99.2023293138075,NA,NA
"78",78,"25-29","mujer","i",2006,86.9940313276905,NA,NA
"79",79,"25-29","mujer","i",2009,114.868320386266,114.868320386266,0
"80",80,"25-29","mujer","i",2011,126.105611713914,126.105611713914,0
"81",81,"25-29","mujer","i",2013,112.50398296,126.105611713914,-10.7859028389402
"82",82,"25-29","mujer","i",2015,136.631602317073,126.105611713914,8.34696446898691
"83",83,"25-29","mujer","i",2017,154.496458989066,126.105611713914,22.5135478820404
"84",84,"25-29","mujer","i",2022,154.505476997579,126.105611713914,22.5206990376396
"85",85,"25-29","mujer","ii",1990,155.656589636872,NA,NA
"86",86,"25-29","mujer","ii",1992,157.22085221179,NA,NA
"87",87,"25-29","mujer","ii",1994,168.432979761194,NA,NA
"88",88,"25-29","mujer","ii",1996,161.303844416058,NA,NA
"89",89,"25-29","mujer","ii",1998,189.9826963,NA,NA
"90",90,"25-29","mujer","ii",2000,180.598326555133,NA,NA
"91",91,"25-29","mujer","ii",2003,203.462190710407,NA,NA
"92",92,"25-29","mujer","ii",2006,222.848108919315,NA,NA
"93",93,"25-29","mujer","ii",2009,274.055852986425,274.055852986425,0
"94",94,"25-29","mujer","ii",2011,302.184994520833,302.184994520833,0
"95",95,"25-29","mujer","ii",2013,291.66357859375,302.184994520833,-3.48177974348678
"96",96,"25-29","mujer","ii",2015,319.320684228426,302.184994520833,5.67059583311362
"97",97,"25-29","mujer","ii",2017,347.970002352201,302.184994520833,15.1513174583563
"98",98,"25-29","mujer","ii",2022,367.697199570815,302.184994520833,21.6795030321949
"99",99,"25-29","mujer","iii",1990,195.881874238506,NA,NA
"100",100,"25-29","mujer","iii",1992,203.512713944724,NA,NA
"101",101,"25-29","mujer","iii",1994,219.33372095,NA,NA
"102",102,"25-29","mujer","iii",1996,226.01668949692,NA,NA
"103",103,"25-29","mujer","iii",1998,258.556956933921,NA,NA
"104",104,"25-29","mujer","iii",2000,242.873218693727,NA,NA
"105",105,"25-29","mujer","iii",2003,262.612123217452,NA,NA
"106",106,"25-29","mujer","iii",2006,292.692848665868,NA,NA
"107",107,"25-29","mujer","iii",2009,345.471760593849,345.471760593849,0
"108",108,"25-29","mujer","iii",2011,381.147495085714,381.147495085714,0
"109",109,"25-29","mujer","iii",2013,376.821391783784,381.147495085714,-1.13502078793857
"110",110,"25-29","mujer","iii",2015,409.552513986867,381.147495085714,7.45250048010027
