"","edad_gama","sexo","quintil","año","ingresos","base","perc_change"
"1","25-29","hombre","i",1990,106.662429959405,106.662429959405,0
"2","25-29","hombre","i",1992,122.15387359814,106.662429959405,14.5238052842326
"3","25-29","hombre","i",1994,109.41758795099,106.662429959405,2.58306321413608
"4","25-29","hombre","i",1996,122.317641419142,106.662429959405,14.6773437148353
"5","25-29","hombre","i",1998,126.598814444553,106.662429959405,18.691102849181
"6","25-29","hombre","i",2000,101.190053450948,106.662429959405,-5.13055675793183
"7","25-29","hombre","i",2003,132.177199461364,106.662429959405,23.9210465312574
"8","25-29","hombre","i",2006,149.680713988225,106.662429959405,40.3312431989346
"9","25-29","hombre","i",2009,200.610805636364,106.662429959405,88.080100662169
"10","25-29","hombre","i",2011,229.559740463886,106.662429959405,115.220805068154
"11","25-29","hombre","i",2013,222.800086978723,106.662429959405,108.883378208729
"12","25-29","hombre","i",2015,227.496470589474,106.662429959405,113.28641272851
"13","25-29","hombre","i",2017,226.588804177355,106.662429959405,112.435441667318
"14","25-29","hombre","i",2022,243.521824404762,106.662429959405,128.310778685096
"15","25-29","hombre","ii",1990,171.431561684849,171.431561684849,0
"16","25-29","hombre","ii",1992,183.018841455978,171.431561684849,6.75912863258561
"17","25-29","hombre","ii",1994,187.370016149721,171.431561684849,9.2972695973997
"18","25-29","hombre","ii",1996,198.932920879682,171.431561684849,16.0421797039864
"19","25-29","hombre","ii",1998,217.982907341057,171.431561684849,27.1544779728405
"20","25-29","hombre","ii",2000,211.854934204429,171.431561684849,23.5798893286017
"21","25-29","hombre","ii",2003,228.074172526521,171.431561684849,33.0409466524032
"22","25-29","hombre","ii",2006,258.980620371331,171.431561684849,51.0693934220984
"23","25-29","hombre","ii",2009,318.035770319793,171.431561684849,85.5176300058761
"24","25-29","hombre","ii",2011,343.885941923372,171.431561684849,100.596633749131
"25","25-29","hombre","ii",2013,346.780146702658,171.431561684849,102.284890421848
"26","25-29","hombre","ii",2015,357.621523875,171.431561684849,108.6089167947
"27","25-29","hombre","ii",2017,383.174733963881,171.431561684849,123.514696009298
"28","25-29","hombre","ii",2022,415.725384180791,171.431561684849,142.502244099625
"29","25-29","hombre","iii",1990,224.371426276463,224.371426276463,0
"30","25-29","hombre","iii",1992,251.312518488307,224.371426276463,12.0073632632025
"31","25-29","hombre","iii",1994,254.142840822731,224.371426276463,13.2688083506607
"32","25-29","hombre","iii",1996,282.298367687768,224.371426276463,25.8174324478952
"33","25-29","hombre","iii",1998,303.941194676357,224.371426276463,35.463414268201
"34","25-29","hombre","iii",2000,284.616830451569,224.371426276463,26.8507470736818
"35","25-29","hombre","iii",2003,283.84156565625,224.371426276463,26.5052196559599
"36","25-29","hombre","iii",2006,342.968887700063,224.371426276463,52.8576492077328
"37","25-29","hombre","iii",2009,397.261496842105,224.371426276463,77.0552977421521
"38","25-29","hombre","iii",2011,476.102810691943,224.371426276463,112.194047429776
"39","25-29","hombre","iii",2013,474.344280089239,224.371426276463,111.410288716874
"40","25-29","hombre","iii",2015,476.952971347116,224.371426276463,112.57295514957
"41","25-29","hombre","iii",2017,506.386264555163,224.371426276463,125.691066353169
"42","25-29","hombre","iii",2022,514.901260450161,224.371426276463,129.486111041482
"43","25-29","hombre","iv",1990,318.555897701149,318.555897701149,0
"44","25-29","hombre","iv",1992,351.380815322275,318.555897701149,10.3042881509982
"45","25-29","hombre","iv",1994,355.108032930144,318.555897701149,11.4743238134256
"46","25-29","hombre","iv",1996,414.301789189189,318.555897701149,30.0562294338255
"47","25-29","hombre","iv",1998,433.00953276187,318.555897701149,35.928901610886
"48","25-29","hombre","iv",2000,399.735355394879,318.555897701149,25.48358334583
"49","25-29","hombre","iv",2003,402.140024353349,318.555897701149,26.2384489677893
"50","25-29","hombre","iv",2006,499.977166039548,318.555897701149,56.9511566565305
"51","25-29","hombre","iv",2009,568.54979971223,318.555897701149,78.4772480481936
"52","25-29","hombre","iv",2011,708.305965095517,318.555897701149,122.349035195075
"53","25-29","hombre","iv",2013,679.823944834646,318.555897701149,113.408054831374
"54","25-29","hombre","iv",2015,692.6095374,318.555897701149,117.421665207959
"55","25-29","hombre","iv",2017,705.229851675194,318.555897701149,121.383391977504
"56","25-29","hombre","iv",2022,696.737284356093,318.555897701149,118.7174337013
"57","25-29","hombre","v",1990,883.26781872276,883.26781872276,0
"58","25-29","hombre","v",1992,905.306416436315,883.26781872276,2.49512064703352
"59","25-29","hombre","v",1994,886.225506417134,883.26781872276,0.334857404705424
"60","25-29","hombre","v",1996,1015.20448363197,883.26781872276,14.9373340806189
"61","25-29","hombre","v",1998,1055.76598811494,883.26781872276,19.5295431052409
"62","25-29","hombre","v",2000,947.299416902375,883.26781872276,7.24939784087305
"63","25-29","hombre","v",2003,976.195851177761,883.26781872276,10.5209349288168
"64","25-29","hombre","v",2006,1221.88307158728,883.26781872276,38.3366455436098
"65","25-29","hombre","v",2009,1294.25946986231,883.26781872276,46.5308078057068
"66","25-29","hombre","v",2011,1585.1394018249,883.26781872276,79.4630539259401
"67","25-29","hombre","v",2013,1525.47380593176,883.26781872276,72.7079571559228
"68","25-29","hombre","v",2015,1504.28564454808,883.26781872276,70.3091194608825
"69","25-29","hombre","v",2017,1572.68353838213,883.26781872276,78.0528515865432
"70","25-29","hombre","v",2022,1370.41645,883.26781872276,55.1529922126762
"71","25-29","mujer","i",1990,79.6613498028169,79.6613498028169,0
"72","25-29","mujer","i",1992,86.5490902270742,79.6613498028169,8.64627632008035
"73","25-29","mujer","i",1994,81.7517694424132,79.6613498028169,2.62413283828432
"74","25-29","mujer","i",1996,66.3465901720184,79.6613498028169,-16.7142028898031
"75","25-29","mujer","i",1998,92.8612273018576,79.6613498028169,16.5699897525135
