"","edad_gama","quintil","sexo","Fecha","perc_change","fuente"
"1","25-29","i","mujer",Apr 2003,NA,"Seguro Cesantía"
"2","25-29","i","mujer",May 2003,NA,"Seguro Cesantía"
"3","25-29","i","mujer",Jun 2003,NA,"Seguro Cesantía"
"4","25-29","i","mujer",Jul 2003,NA,"Seguro Cesantía"
"5","25-29","i","mujer",Aug 2003,NA,"Seguro Cesantía"
"6","25-29","i","mujer",Sep 2003,NA,"Seguro Cesantía"
"7","25-29","i","mujer",Oct 2003,NA,"Seguro Cesantía"
"8","25-29","i","mujer",Nov 2003,NA,"Seguro Cesantía"
"9","25-29","i","mujer",Dec 2003,NA,"Seguro Cesantía"
"10","25-29","i","mujer",Jan 2004,NA,"Seguro Cesantía"
"11","25-29","i","mujer",Feb 2004,NA,"Seguro Cesantía"
"12","25-29","i","mujer",Mar 2004,NA,"Seguro Cesantía"
"13","25-29","i","mujer",Apr 2004,NA,"Seguro Cesantía"
"14","25-29","i","mujer",May 2004,NA,"Seguro Cesantía"
"15","25-29","i","mujer",Jun 2004,NA,"Seguro Cesantía"
"16","25-29","i","mujer",Jul 2004,NA,"Seguro Cesantía"
"17","25-29","i","mujer",Aug 2004,NA,"Seguro Cesantía"
"18","25-29","i","mujer",Sep 2004,NA,"Seguro Cesantía"
"19","25-29","i","mujer",Oct 2004,NA,"Seguro Cesantía"
"20","25-29","i","mujer",Nov 2004,NA,"Seguro Cesantía"
"21","25-29","i","mujer",Dec 2004,NA,"Seguro Cesantía"
"22","25-29","i","mujer",Jan 2005,NA,"Seguro Cesantía"
"23","25-29","i","mujer",Feb 2005,NA,"Seguro Cesantía"
"24","25-29","i","mujer",Mar 2005,NA,"Seguro Cesantía"
"25","25-29","i","mujer",Apr 2005,NA,"Seguro Cesantía"
"26","25-29","i","mujer",May 2005,NA,"Seguro Cesantía"
"27","25-29","i","mujer",Jun 2005,NA,"Seguro Cesantía"
"28","25-29","i","mujer",Jul 2005,NA,"Seguro Cesantía"
"29","25-29","i","mujer",Aug 2005,NA,"Seguro Cesantía"
"30","25-29","i","mujer",Sep 2005,NA,"Seguro Cesantía"
"31","25-29","i","mujer",Oct 2005,NA,"Seguro Cesantía"
"32","25-29","i","mujer",Nov 2005,NA,"Seguro Cesantía"
"33","25-29","i","mujer",Dec 2005,NA,"Seguro Cesantía"
"34","25-29","i","mujer",Jan 2006,NA,"Seguro Cesantía"
"35","25-29","i","mujer",Feb 2006,NA,"Seguro Cesantía"
"36","25-29","i","mujer",Mar 2006,NA,"Seguro Cesantía"
"37","25-29","i","mujer",Apr 2006,NA,"Seguro Cesantía"
"38","25-29","i","mujer",May 2006,NA,"Seguro Cesantía"
"39","25-29","i","mujer",Jun 2006,NA,"Seguro Cesantía"
"40","25-29","i","mujer",Jul 2006,NA,"Seguro Cesantía"
"41","25-29","i","mujer",Aug 2006,NA,"Seguro Cesantía"
"42","25-29","i","mujer",Sep 2006,NA,"Seguro Cesantía"
"43","25-29","i","mujer",Oct 2006,NA,"Seguro Cesantía"
"44","25-29","i","mujer",Nov 2006,NA,"Seguro Cesantía"
"45","25-29","i","mujer",Dec 2006,NA,"Seguro Cesantía"
"46","25-29","i","mujer",Jan 2007,NA,"Seguro Cesantía"
"47","25-29","i","mujer",Feb 2007,NA,"Seguro Cesantía"
"48","25-29","i","mujer",Mar 2007,NA,"Seguro Cesantía"
"49","25-29","i","mujer",Apr 2007,NA,"Seguro Cesantía"
"50","25-29","i","mujer",May 2007,NA,"Seguro Cesantía"
"51","25-29","i","mujer",Jun 2007,NA,"Seguro Cesantía"
"52","25-29","i","mujer",Jul 2007,NA,"Seguro Cesantía"
"53","25-29","i","mujer",Aug 2007,NA,"Seguro Cesantía"
"54","25-29","i","mujer",Sep 2007,NA,"Seguro Cesantía"
"55","25-29","i","mujer",Oct 2007,NA,"Seguro Cesantía"
"56","25-29","i","mujer",Nov 2007,NA,"Seguro Cesantía"
"57","25-29","i","mujer",Dec 2007,NA,"Seguro Cesantía"
"58","25-29","i","mujer",Jan 2008,NA,"Seguro Cesantía"
"59","25-29","i","mujer",Feb 2008,NA,"Seguro Cesantía"
"60","25-29","i","mujer",Mar 2008,NA,"Seguro Cesantía"
"61","25-29","i","mujer",Apr 2008,NA,"Seguro Cesantía"
"62","25-29","i","mujer",May 2008,NA,"Seguro Cesantía"
"63","25-29","i","mujer",Jun 2008,NA,"Seguro Cesantía"
"64","25-29","i","mujer",Jul 2008,NA,"Seguro Cesantía"
"65","25-29","i","mujer",Aug 2008,NA,"Seguro Cesantía"
"66","25-29","i","mujer",Sep 2008,NA,"Seguro Cesantía"
"67","25-29","i","mujer",Oct 2008,NA,"Seguro Cesantía"
"68","25-29","i","mujer",Nov 2008,NA,"Seguro Cesantía"
"69","25-29","i","mujer",Dec 2008,NA,"Seguro Cesantía"
"70","25-29","i","mujer",Jan 2009,NA,"Seguro Cesantía"
"71","25-29","i","mujer",Feb 2009,NA,"Seguro Cesantía"
"72","25-29","i","mujer",Mar 2009,NA,"Seguro Cesantía"
"73","25-29","i","mujer",Apr 2009,NA,"Seguro Cesantía"
"74","25-29","i","mujer",May 2009,NA,"Seguro Cesantía"
"75","25-29","i","mujer",Jun 2009,NA,"Seguro Cesantía"
"76","25-29","i","mujer",Jul 2009,NA,"Seguro Cesantía"
"77","25-29","i","mujer",Aug 2009,NA,"Seguro Cesantía"
"78","25-29","i","mujer",Sep 2009,NA,"Seguro Cesantía"
"79","25-29","i","mujer",Oct 2009,NA,"Seguro Cesantía"
"80","25-29","i","mujer",Nov 2009,NA,"Seguro Cesantía"
"81","25-29","i","mujer",Dec 2009,NA,"Seguro Cesantía"
"82","25-29","i","mujer",Jan 2010,NA,"Seguro Cesantía"
"83","25-29","i","mujer",Feb 2010,NA,"Seguro Cesantía"
"84","25-29","i","mujer",Mar 2010,NA,"Seguro Cesantía"
"85","25-29","i","mujer",Apr 2010,NA,"Seguro Cesantía"
"86","25-29","i","mujer",May 2010,NA,"Seguro Cesantía"
"87","25-29","i","mujer",Jun 2010,NA,"Seguro Cesantía"
"88","25-29","i","mujer",Jul 2010,NA,"Seguro Cesantía"
"89","25-29","i","mujer",Aug 2010,NA,"Seguro Cesantía"
"90","25-29","i","mujer",Sep 2010,NA,"Seguro Cesantía"
"91","25-29","i","mujer",Oct 2010,NA,"Seguro Cesantía"
"92","25-29","i","mujer",Nov 2010,NA,"Seguro Cesantía"
"93","25-29","i","mujer",Dec 2010,0,"Seguro Cesantía"
"94","25-29","i","mujer",Jan 2011,0.229797325699701,"Seguro Cesantía"
"95","25-29","i","mujer",Feb 2011,0.630585378622743,"Seguro Cesantía"
"96","25-29","i","mujer",Mar 2011,1.03501853758236,"Seguro Cesantía"
"97","25-29","i","mujer",Apr 2011,1.46913708761419,"Seguro Cesantía"
"98","25-29","i","mujer",May 2011,1.89393152872383,"Seguro Cesantía"
"99","25-29","i","mujer",Jun 2011,2.21222083914057,"Seguro Cesantía"
