"","año","quintil","salario","base","perc_change"
"1",1990,"i",115234.537509754,248806.223249681,-53.6850260396764
"2",1990,"ii",171354.201339778,353374.910187404,-51.5092338477274
"3",1990,"iii",230693.111319382,489941.223514573,-52.9141251547452
"4",1990,"iv",330053.959543669,721747.567430254,-54.2701666846194
"5",1990,"v",916692.726317068,1665829.64334428,-44.970799986682
"6",1992,"i",130022.048139337,248806.223249681,-47.741641490672
"7",1992,"ii",185290.296216979,353374.910187404,-47.5655201104361
"8",1992,"iii",253969.084706698,489941.223514573,-48.163356640035
"9",1992,"iv",351254.761139196,721747.567430254,-51.3327405605506
"10",1992,"v",876566.324502522,1665829.64334428,-47.379593825528
"11",1994,"i",143567.102480209,248806.223249681,-42.2976239882323
"12",1994,"ii",215390.173645884,353374.910187404,-39.0476891719174
"13",1994,"iii",284474.188490706,489941.223514573,-41.9370784009475
"14",1994,"iv",387949.929081779,721747.567430254,-46.2485297369196
"15",1994,"v",1083519.85712499,1665829.64334428,-34.9561426371461
"16",1996,"i",144327.897116018,248806.223249681,-41.9918460113506
"17",1996,"ii",216672.544769572,353374.910187404,-38.6847966499192
"18",1996,"iii",304195.35266089,489941.223514573,-37.911868187217
"19",1996,"iv",454899.837574956,721747.567430254,-36.9724460319826
"20",1996,"v",1096090.75653116,1665829.64334428,-34.2015096855482
"21",1998,"i",173362.033631804,248806.223249681,-30.3224688805985
"22",1998,"ii",245846.749017096,353374.910187404,-30.4289178632641
"23",1998,"iii",336655.673633995,489941.223514573,-31.2865181625239
"24",1998,"iv",483294.599080694,721747.567430254,-33.0382780781042
"25",1998,"v",1196872.3568831,1665829.64334428,-28.1515753027252
"26",2000,"i",163172.722085812,248806.223249681,-34.4177488992848
"27",2000,"ii",253265.961387241,353374.910187404,-28.3293878297903
"28",2000,"iii",355601.316667096,489941.223514573,-27.4195965556431
"29",2000,"iv",503958.211113377,721747.567430254,-30.1752809631635
"30",2000,"v",1273229.93697449,1665829.64334428,-23.5678184704184
"31",2003,"i",188217.82475817,248806.223249681,-24.3516410884582
"32",2003,"ii",261593.721920004,353374.910187404,-25.9727517776309
"33",2003,"iii",347765.169286141,489941.223514573,-29.0190021587769
"34",2003,"iv",480092.028495243,721747.567430254,-33.4820025504781
"35",2003,"v",1247385.41470339,1665829.64334428,-25.1192689668337
"36",2006,"i",204729.986033792,248806.223249681,-17.7150863190661
"37",2006,"ii",295949.78758694,353374.910187404,-16.2504809891596
"38",2006,"iii",402836.440650212,489941.223514573,-17.778618879938
"39",2006,"iv",599922.085924466,721747.567430254,-16.8792368694143
"40",2006,"v",1523278.01178546,1665829.64334428,-8.55739553731551
"41",2009,"i",244925.729467443,248806.223249681,-1.55964498458062
"42",2009,"ii",344776.517165854,353374.910187404,-2.43322114096626
"43",2009,"iii",465911.253867841,489941.223514573,-4.90466376239056
"44",2009,"iv",691096.707990956,721747.567430254,-4.24675618214125
"45",2009,"v",1653486.73002214,1665829.64334428,-0.740946913236839
"46",2011,"i",256448.85854911,248806.223249681,3.0717219206209
"47",2011,"ii",347381.010718376,353374.910187404,-1.69618705126796
"48",2011,"iii",469022.9646166,489941.223514573,-4.26954456861532
"49",2011,"iv",686782.475916227,721747.567430254,-4.84450424107677
"50",2011,"v",1617806.0071446,1665829.64334428,-2.88286598762102
"51",2013,"i",248806.223249681,248806.223249681,0
"52",2013,"ii",353374.910187404,353374.910187404,0
"53",2013,"iii",489941.223514573,489941.223514573,0
"54",2013,"iv",721747.567430254,721747.567430254,0
"55",2013,"v",1665829.64334428,1665829.64334428,0
"56",2015,"i",286497.65863879,248806.223249681,15.1489118305875
"57",2015,"ii",396907.412857597,353374.910187404,12.319070034459
"58",2015,"iii",533103.020261119,489941.223514573,8.80958667591315
"59",2015,"iv",753469.993083952,721747.567430254,4.3952244642325
"60",2015,"v",1549398.96721031,1665829.64334428,-6.9893507177741
"61",2017,"i",317155.72680042,248806.223249681,27.4709782810173
"62",2017,"ii",423166.39241688,353374.910187404,19.7499823041945
"63",2017,"iii",546895.263628397,489941.223514573,11.6246678949091
"64",2017,"iv",780125.67822977,721747.567430254,8.08843887169136
"65",2017,"v",1611197.68434755,1665829.64334428,-3.27956458302987
"66",2022,"i",343083.747848143,248806.223249681,37.8919479453105
"67",2022,"ii",444133.36491628,353374.910187404,25.6833329453819
"68",2022,"iii",557547.373581376,489941.223514573,13.7988286802715
"69",2022,"iv",802589.547924442,721747.567430254,11.2008663613543
"70",2022,"v",1580303.5830332,1665829.64334428,-5.13414205665042
