"","Fecha","quintil","ingresos","trend","base","perc_change"
"31",Apr 2003,1,124.126948747596,115.316222030003,235.74477272491,-51.0842931119557
"33",Apr 2003,2,261.08877393663,247.337615363725,426.811935859282,-42.0499769141247
"35",Apr 2003,3,342.945041336725,334.151514972632,615.113409283463,-45.676437884539
"37",Apr 2003,4,523.165823564248,509.51197912252,917.7147187891,-44.4803522607976
"39",Apr 2003,5,1841.75673566693,1842.82841164662,1921.91829528103,-4.11515327309202
"41",May 2003,1,128.355046159282,120.865543207032,235.74477272491,-48.7303401004487
"43",May 2003,2,261.011529550124,255.821908140958,426.811935859282,-40.0621475999909
"45",May 2003,3,342.233663664565,342.610993726036,615.113409283463,-44.3011664913729
"47",May 2003,4,536.935221991592,526.617052629235,917.7147187891,-42.6164752675982
"49",May 2003,5,1955.75524852455,1913.54477399119,1921.91829528103,-0.435685601745054
"51",Jun 2003,1,125.988625765521,124.830359825998,235.74477272491,-47.0485142117394
"53",Jun 2003,2,264.944378778894,260.927168160765,426.811935859282,-38.866009537561
"55",Jun 2003,3,356.779592510033,348.956309900835,615.113409283463,-43.2695979905024
"57",Jun 2003,4,554.427219006758,539.825257711116,917.7147187891,-41.177225704367
"59",Jun 2003,5,1997.35284017078,1968.37160128855,1921.91829528103,2.4170281391034
"61",Jul 2003,1,134.17125047474,127.822384479347,235.74477272491,-45.7793345736227
"63",Jul 2003,2,271.933688821508,264.40496024264,426.811935859282,-38.0511794473776
"65",Jul 2003,3,357.899371370728,354.153399775929,615.113409283463,-42.4246985302308
"67",Jul 2003,4,560.160777224584,550.570756046744,917.7147187891,-40.0063282440095
"69",Jul 2003,5,2051.57023546929,2013.82522024102,1921.91829528103,4.78204121297217
"71",Aug 2003,1,136.481944347872,130.3388060976,235.74477272491,-44.7118998266435
"73",Aug 2003,2,270.711872852318,267.594680592048,426.811935859282,-37.3038431895512
"75",Aug 2003,3,360.06796382975,358.701174031975,615.113409283463,-41.6853593795296
"77",Aug 2003,4,569.885051949392,559.367649378035,917.7147187891,-39.0477631092039
"79",Aug 2003,5,2107.32222215434,2044.876723544,1921.91829528103,6.39769279291806
"81",Sep 2003,1,129.817127115545,132.253297024946,235.74477272491,-43.8997965909209
"83",Sep 2003,2,274.699219434321,270.633188066042,426.811935859282,-36.5919353869082
"85",Sep 2003,3,382.050757731953,363.428983068146,615.113409283463,-40.9167516781174
"87",Sep 2003,4,605.686425803605,567.524383700261,917.7147187891,-38.1589537488192
"89",Sep 2003,5,2218.58064222602,2071.36682865882,1921.91829528103,7.77600867553726
"91",Oct 2003,1,134.907516051641,133.272046903789,235.74477272491,-43.4676555652396
"93",Oct 2003,2,270.126925150555,272.919449162176,426.811935859282,-36.0562753211859
"95",Oct 2003,3,363.04197438525,367.515001827484,615.113409283463,-40.2524808789981
"97",Oct 2003,4,578.102237593828,574.496938623729,917.7147187891,-37.3991800652645
"99",Oct 2003,5,2158.81359368923,2097.72163218919,1921.91829528103,9.14728463430589
"101",Nov 2003,1,136.149892022424,133.820643351928,235.74477272491,-43.2349477763043
"103",Nov 2003,2,271.118330463524,274.477671352722,426.811935859282,-35.6911912971394
"105",Nov 2003,3,362.481815632305,370.936307827426,615.113409283463,-39.6962735279134
"107",Nov 2003,4,570.282976359718,580.126994289974,917.7147187891,-36.7856935916386
"109",Nov 2003,5,2132.2045287824,2119.24353282315,1921.91829528103,10.26709813974
"111",Dec 2003,1,137.760886345019,135.896772005296,235.74477272491,-42.3542798279247
"113",Dec 2003,2,281.703472704505,276.3722308426,426.811935859282,-35.2473050487232
"115",Dec 2003,3,394.392304946855,373.879626902277,615.113409283463,-39.2177732984549
"117",Dec 2003,4,628.522363135273,585.001209455935,917.7147187891,-36.2545682793637
"119",Dec 2003,5,2347.60027120858,2137.43654732213,1921.91829528103,11.2137052116247
"121",Jan 2004,1,133.886212825185,137.874644871715,235.74477272491,-41.5152907620987
"123",Jan 2004,2,278.462340909587,278.010972632375,426.811935859282,-34.863355666784
"125",Jan 2004,3,373.69576358972,376.288463998547,615.113409283463,-38.8261646845123
"127",Jan 2004,4,571.094909001073,589.429552434115,917.7147187891,-35.7720280206629
"129",Jan 2004,5,2085.12276684778,2153.46666934963,1921.91829528103,12.0477740722448
"131",Feb 2004,1,139.971990756607,138.253941225433,235.74477272491,-41.3543979671773
"133",Feb 2004,2,280.702527532515,279.052773199678,426.811935859282,-34.6192667649106
"135",Feb 2004,3,374.534527444543,378.788695461862,615.113409283463,-38.4196979377986
"137",Feb 2004,4,570.959021454687,593.57124517691,917.7147187891,-35.3207229845773
"139",Feb 2004,5,2035.55163636667,2165.79092813325,1921.91829528103,12.6890218721062
"141",Mar 2004,1,135.799142426775,140.155768672299,235.74477272491,-40.5476664223444
